geo_description,type,year,estimate,se,moe,cv,subtype
Durham,county,2006,1.676334692766246,0.08073715903990096,0.1328126266206371,4.816291125411865,Durham
Forsyth,county,2006,1.8759599266986764,0.09161505609136553,0.1507067672702963,4.883636094113704,Forsyth
Guilford,county,2006,1.9262552700011712,0.08246303185556414,0.13565168740240302,4.281002271080821,Guilford
Durham,county,2007,1.7691326458287562,0.08311579191756575,0.13672547770439566,4.698109670495051,Durham
Forsyth,county,2007,1.9987576906110194,0.09408029042190329,0.15476207774403092,4.706938257890729,Forsyth
Guilford,county,2007,2.06152320464766,0.09636745073415111,0.15852445645767857,4.674575115957596,Guilford
Durham,county,2008,1.7941343216599388,0.09276109969318681,0.15259200899529232,5.170242750128315,Durham
Forsyth,county,2008,1.8172367849061866,0.10842024815946998,0.17835130822232811,5.96621469805142,Forsyth
Guilford,county,2008,1.8780697272456792,0.08762739939753539,0.14414707200894572,4.665822473271379,Guilford
Durham,county,2009,1.737208608465279,0.0761091300016722,0.12519951885275077,4.381116328275055,Durham
Forsyth,county,2009,1.7070204001033684,0.08929025884718388,0.1468824758036175,5.230766945830109,Forsyth
Guilford,county,2009,1.8322868924697355,0.09505090050164705,0.1563587313252094,5.187555556517034,Guilford
Durham,county,2010,1.8292993116889278,0.08949111245714277,0.14721287999199986,4.892097858743454,Durham
Forsyth,county,2010,1.7713759912876146,0.10328850255772114,0.16990958670745127,5.830975640730044,Forsyth
Guilford,county,2010,1.7909664866582091,0.08081562797736287,0.13294170802276192,4.5124031398352935,Guilford
Durham,county,2011,1.8821200872327788,0.08727322436123346,0.14356445407422905,4.636963653554567,Durham
Forsyth,county,2011,2.044063896340915,0.09464695739008909,0.15569424490669656,4.630332621182582,Forsyth
Guilford,county,2011,1.9731065013605913,0.10370525164241105,0.17059513895176617,5.255937860977054,Guilford
Durham,county,2012,2.089783840466844,0.14667555682980743,0.24128129098503323,7.0186951391604735,Durham
Forsyth,county,2012,2.1361899076043014,0.10634196756259368,0.1749325366404666,4.978113939404118,Forsyth
Guilford,county,2012,1.9190385887586632,0.07681375855328959,0.12635863282016138,4.002720893850125,Guilford
Durham,county,2013,2.1201588005080083,0.11037626396952926,0.18156895422987565,5.206037582801919,Durham
Forsyth,county,2013,2.0890322157558474,0.10190445188218707,0.16763282334619772,4.878069907855217,Forsyth
Guilford,county,2013,2.1257404506951554,0.1243547786166431,0.2045636108243779,5.849951181762423,Guilford
Durham,county,2014,1.9660706073346328,0.13115486452112304,0.2157497521372474,6.6709132434937,Durham
Forsyth,county,2014,1.9301106361449962,0.10300073802479233,0.16943621405078338,5.336519891445983,Forsyth
Guilford,county,2014,1.7755648495440717,0.08009204481941126,0.13175141372793153,4.510792429799297,Guilford
Durham,county,2015,2.137761930435753,0.1565300363925335,0.25749190986571757,7.322145378490625,Durham
