geo_description,type,year,estimate,se,moe,cv,subtype
Alamance,county,2006,1.4193129238683946,0.07864272117964097,0.1293672763405094,5.540900801868066,Alamance
Alexander,county,2006,1.6397732279010417,0.11056855043627542,0.18188526546767306,6.742917164088991,Alexander
Alleghany,county,2006,1.7287995567202326,0.20377667187851553,0.33521262524015805,11.787177471580772,Alleghany
Anson,county,2006,1.4368333743017214,0.1359222006194717,0.22359202001903092,9.459844338981043,Anson
Ashe,county,2006,2.0348068394409737,0.15470926326598372,0.25449673807254325,7.603142483464784,Ashe
Beaufort,county,2006,1.5611498430612432,0.12642627162507392,0.2079712168232466,8.098279110553918,Beaufort
Bladen,county,2006,1.6274098000071797,0.14566904830031058,0.23962558445401091,8.95097524297002,Bladen
Brunswick,county,2006,1.882726628784009,0.10175661908261104,0.16738963839089516,5.40474742997247,Brunswick
Buncombe,county,2006,1.6635500722554901,0.1118900840695965,0.18405918829448623,6.725982339557271,Buncombe
Cabarrus,county,2006,1.2506565234717186,0.08054450188675173,0.1324957056037066,6.4401776487094065,Cabarrus
Camden,county,2006,1.53243940800121,0.09996681817035025,0.16444541589022615,6.523378193512974,Camden
Carteret,county,2006,1.6095632646490916,0.08583493608626971,0.14119846986191367,5.332809089985226,Carteret
Catawba,county,2006,1.500090232036644,0.12135615997470531,0.19963088315839023,8.089924018100055,Catawba
Chatham,county,2006,2.0043964103598766,0.10303747393934604,0.16949664463022424,5.14057366131714,Chatham
Cherokee,county,2006,1.6482511701506721,0.1226690253498279,0.2017905467004669,7.442374534374778,Cherokee
Cleveland,county,2006,1.4742085629905017,0.10110441593854053,0.16631676421889915,6.858216569672167,Cleveland
Cumberland,county,2006,1.6479418018673642,0.10892802099801566,0.17918659454173574,6.609943438207827,Cumberland
Davidson,county,2006,1.2430683588962497,0.09763614202569294,0.1606114536322649,7.85444672667772,Davidson
Davie,county,2006,1.2224549448634139,0.07780196651277137,0.1279842349135089,6.364403599468793,Davie
Duplin,county,2006,1.4977676152357486,0.07775347396538103,0.1279044646730518,5.191290903505257,Duplin
Durham,county,2006,1.676334692766246,0.08073715903990096,0.1328126266206371,4.816291125411865,Durham
Edgecombe,county,2006,1.8909152807938583,0.2236483541154958,0.3679015425199906,11.827518471456958,Edgecombe
Forsyth,county,2006,1.8759599266986764,0.09161505609136553,0.1507067672702963,4.883636094113704,Forsyth
Franklin,county,2006,1.4152691853126886,0.09913931326377488,0.16308417031890968,7.004979285398001,Franklin
Gaston,county,2006,1.5307329276170345,0.09464800133178625,0.15569596219078838,6.183181900916533,Gaston
Granville,county,2006,1.5716615150772018,0.15779789542895442,0.25957753798063005,10.040195927378372,Granville
Greene,county,2006,1.537631445440055,0.14680267093038343,0.24149039368048075,9.547324969565118,Greene
Guilford,county,2006,1.9262552700011712,0.08246303185556414,0.13565168740240302,4.281002271080821,Guilford
Halifax,county,2006,2.059140323901458,0.20393287678095823,0.3354695823046763,9.903787246250713,Halifax
Harnett,county,2006,1.414024006703369,0.05989715841340188,0.0985308255900461,4.235936457192483,Harnett
Henderson,county,2006,1.8751237077152334,0.1837589368257802,0.3022834510784084,9.799830062928672,Henderson
Hoke,county,2006,1.9709652242322697,0.16597870249920882,0.2730349656111985,8.4211887890544,Hoke
Mecklenburg,county,2006,1.9292059195417581,0.06138211151092746,0.10097357343547568,3.181729378350004,Mecklenburg
Pitt,county,2006,1.8096515611365513,0.16615555312045047,0.273325884883141,9.181632347836977,Pitt
Robeson,county,2006,2.1401410973378607,0.2739365910046333,0.4506256922026218,12.799931338423681,Robeson
Rowan,county,2006,1.570091076698634,0.13162115416198075,0.21651679859645834,8.383026699236783,Rowan
Union,county,2006,1.3027247842188838,0.08341129665756294,0.13721158300169103,6.40283332811362,Union
Wake,county,2006,1.678108352521004,0.06650163787356442,0.10939519430201347,3.9628929665751156,Wake
Wayne,county,2006,1.5590084880047017,0.09164142188760188,0.1507501390051051,5.878186205701113,Wayne
Alamance,county,2007,1.5541965666309856,0.09966320021703366,0.16394596435702039,6.412522222531508,Alamance
