geo_description,type,year,estimate,se,moe,cv,subtype
Durham,county,2006,1.676334693,0.080737159,0.132812627,4.816291125,Durham
Forsyth,county,2006,1.875959927,0.091615056,0.150706767,4.883636094,Forsyth
Guilford,county,2006,1.92625527,0.082463032,0.135651687,4.281002271,Guilford
Durham,county,2007,1.769132646,0.083115792,0.136725478,4.69810967,Durham
Forsyth,county,2007,1.998757691,0.09408029,0.154762078,4.706938258,Forsyth
Guilford,county,2007,2.061523205,0.096367451,0.158524456,4.674575116,Guilford
Durham,county,2008,1.794134322,0.0927611,0.152592009,5.17024275,Durham
Forsyth,county,2008,1.817236785,0.108420248,0.178351308,5.966214698,Forsyth
Guilford,county,2008,1.878069727,0.087627399,0.144147072,4.665822473,Guilford
Durham,county,2009,1.737208608,0.07610913,0.125199519,4.381116328,Durham
Forsyth,county,2009,1.7070204,0.089290259,0.146882476,5.230766946,Forsyth
Guilford,county,2009,1.832286892,0.095050901,0.156358731,5.187555557,Guilford
Durham,county,2010,1.829299312,0.089491112,0.14721288,4.892097859,Durham
Forsyth,county,2010,1.771375991,0.103288503,0.169909587,5.830975641,Forsyth
Guilford,county,2010,1.790966487,0.080815628,0.132941708,4.51240314,Guilford
Durham,county,2011,1.882120087,0.087273224,0.143564454,4.636963654,Durham
Forsyth,county,2011,2.044063896,0.094646957,0.155694245,4.630332621,Forsyth
Guilford,county,2011,1.973106501,0.103705252,0.170595139,5.255937861,Guilford
Durham,county,2012,2.08978384,0.146675557,0.241281291,7.018695139,Durham
Forsyth,county,2012,2.136189908,0.106341968,0.174932537,4.978113939,Forsyth
Guilford,county,2012,1.919038589,0.076813759,0.126358633,4.002720894,Guilford
Durham,county,2013,2.120158801,0.110376264,0.181568954,5.206037583,Durham
Forsyth,county,2013,2.089032216,0.101904452,0.167632823,4.878069908,Forsyth
Guilford,county,2013,2.125740451,0.124354779,0.204563611,5.849951182,Guilford
Durham,county,2014,1.966070607,0.131154865,0.215749752,6.670913243,Durham
Forsyth,county,2014,1.930110636,0.103000738,0.169436214,5.336519891,Forsyth
Guilford,county,2014,1.77556485,0.080092045,0.131751414,4.51079243,Guilford
Durham,county,2015,2.13776193,0.156530036,0.25749191,7.322145378,Durham
Forsyth,county,2015,2.052631411,0.129537193,0.213088683,6.310786847,Forsyth
Guilford,county,2015,1.985720103,0.106324488,0.174903783,5.354454941,Guilford
Durham,county,2016,1.90913643,0.120844583,0.198789339,6.329803429,Durham
Forsyth,county,2016,2.303108152,0.120125102,0.197605792,5.21578206,Forsyth
Guilford,county,2016,2.182571196,0.126843473,0.208657513,5.811653387,Guilford
Durham,county,2017,2.134015029,0.179982201,0.296070721,8.433970648,Durham
Forsyth,county,2017,2.252764674,0.132275907,0.217593867,5.871714353,Forsyth
Guilford,county,2017,2.01305456,0.091208903,0.150038646,4.530870907,Guilford
North Carolina,state,2006,1.750191205,0.018401252,0.030270059,1.051385223,North Carolina
North Carolina,state,2007,1.840140876,0.01979913,0.032569568,1.07595727,North Carolina
North Carolina,state,2008,1.801732943,0.01907281,0.031374772,1.058581398,North Carolina
North Carolina,state,2009,1.787212106,0.018865017,0.031032953,1.055555575,North Carolina
North Carolina,state,2010,1.78935319,0.016830295,0.027685835,0.940579821,North Carolina
North Carolina,state,2011,1.888121856,0.021046097,0.03462083,1.114657779,North Carolina
North Carolina,state,2012,1.874810625,0.021360391,0.035137844,1.139335936,North Carolina
North Carolina,state,2013,1.935979289,0.024136512,0.039704562,1.246733981,North Carolina
North Carolina,state,2014,1.945505302,0.022059616,0.036288069,1.133875928,North Carolina
North Carolina,state,2015,1.95217736,0.024283514,0.03994638,1.243919439,North Carolina
North Carolina,state,2016,1.978485338,0.025368182,0.04173066,1.282202191,North Carolina
North Carolina,state,2017,1.90297094,0.020160968,0.033164793,1.059446994,North Carolina
